Sarbu Mugurel Liviu,Partidul Democratiei Sociale Din Romania,2000,1874
Mateica Iacob Dorin Corn,Partidul Democrat,2000,8096
Treger Felix Adrian,Alianta Pentru Romania,2000,1936
Pasca Gheorghe,Alianta Pentru Romania,2000,2130
Zaharie Aron,Partidul Democratiei Sociale Din Romania,2000,2309
Lazea Rovin,Partidul Democratiei Sociale Din Romania,2000,2381
Chira A. Traian,Federatia Ecologista Din Romania,2000,2577
Bica Vasile,Conventia Democrata Romana,2000,2988
Birla G. Ioan,Partidul Democratiei Sociale Din Romania,2000,3039
Gherman Nicolae,Partidul Democratiei Sociale Din Romania,2000,3397
Amariei David Sorinel,Partidul Democrat,2000,3459
Paraschiv Florin,Conventia Democrata Romana,2000,3761
Avram Gheorghe,Partidul Democratiei Sociale Din Romania,2000,3805
Giurgiu Aurel,Partidul National Liberal,2000,3841
Parau Nicolae,Candidat independent,2000,3958
Reche Ioan,Partidul Democrat,2000,4106
Damian Gheorghe,Conventia Democrata Romana,2000,1071
Mihalachi V. Ioan,Partidul National Liberal,2000,4008
Bubur Lenuta,Alianta Pentru Romania,2000,4188
Muntean Nicolae,Partidul National Liberal,2000,4142
Damian Doru,Partidul Democratiei Sociale Din Romania,2000,4240
Cristian Vasile,Alianta Pentru Romania,2000,4268
Barabas Gligor,Alianta Pentru Romania,2000,4302
Raica Romulus,Conventia Democrata Romana,2000,4366
Fulea Ioan,Conventia Democrata Romana,2000,4482
Virciu Marin,Partidul Democratiei Sociale Din Romania,2000,4525
Popa Augustin,Partidul Democratiei Sociale Din Romania,2000,4703
Olar Corneliu,Candidat independent,2000,4767
Metes Aurel,Partidul Democratiei Sociale Din Romania,2000,4927
Nistor Ioan,Partidul Democratiei Sociale Din Romania,2000,4981
Trif Teodor,Partidul Unitatii Nationale Romane,2000,5103
Irimie Iuonas,Partidul National Liberal,2000,5167
Indreiu Marian,Alianta Pentru Romania,2000,5210
Rusu Ioan,Alianta Pentru Romania,2000,5309
Macaiet Alexandru,Partidul Democratiei Sociale Din Romania,2000,5336
Varvara Nicolae,Partidul Democratiei Sociale Din Romania,2000,5577
Carnat Toma Ioan,Partidul Democratiei Sociale Din Romania,2000,5700
Marginean Aurel,Alianta Pentru Romania,2000,5755
Pratia Ioan,Partidul Democrat,2000,5826
